lang,src,male_singular,female_singular,male_plural,female_plural,group
fr_FR,Gratuit,Gratuit,Gratuite,Gratuits,Gratuites,Timeline
it_IT,Gratuit,Gratuito,Gratuita,Gratuiti,Gratuite,Timeline
de_DE,Gratuit,Kostenlos,Kostenlos,Kostenlos,Kostenlos,Timeline
fr_FR,Sent a birthday gift,A envoyé un cadeau d'anniversaire,A envoyé un cadeau d'anniversaire,Ont envoyé un cadeau d'anniversaire,Ont envoyé un cadeau d'anniversaire,Timeline
it_IT,Sent a birthday gift,Ha inviato un regalo di compleanno,Ha inviato un regalo di compleanno,Hanno inviato un regalo di compleanno,Hanno inviato un regalo di compleanno,Timeline
de_DE,Sent a birthday gift,Hat ein Geburtstagsgeschenk geschickt,Hat ein Geburtstagsgeschenk geschickt,Haben ein Geburtstagsgeschenk geschickt,Haben ein Geburtstagsgeschenk geschickt,Timeline
fr_FR,Sent a graduation/final gift,A envoyé un cadeau de fin d'études,A envoyé un cadeau de fin d'études,Ont envoyé un cadeau de fin d'études,Ont envoyé un cadeau de fin d'études,Timeline
it_IT,Sent a graduation/final gift,Ha inviato un regalo di diploma,Ha inviato un regalo di diploma,Hanno inviato un regalo di diploma,Hanno inviato un regalo di diploma,Timeline
de_DE,Sent a graduation/final gift,Hat ein Abschlussgeschenk geschickt,Hat ein Abschlussgeschenk geschickt,Haben ein Abschlussgeschenk geschickt,Haben ein Abschlussgeschenk geschickt,Timeline
fr_FR,Sent a family gift,A envoyé un cadeau de famille,A envoyé un cadeau de famille,Ont envoyé un cadeau de famille,Ont envoyé un cadeau de famille,Timeline
it_IT,Sent a family gift,Ha inviato un regalo di famiglia,Ha inviato un regalo di famiglia,Hanno inviato un regalo di famiglia,Hanno inviato un regalo di famiglia,Timeline
de_DE,Sent a family gift,Hat ein Familiengeschenk geschickt,Hat ein Familiengeschenk geschickt,Haben ein Familiengeschenk geschickt,Haben ein Familiengeschenk geschickt,Timeline
fr_FR,Sent a general gift,A envoyé un cadeau général,A envoyé un cadeau général,Ont envoyé un cadeau général,Ont envoyé un cadeau général,Timeline
it_IT,Sent a general gift,Ha inviato un regalo generico,Ha inviato un regalo generico,Hanno inviato un regalo generico,Hanno inviato un regalo generico,Timeline
de_DE,Sent a general gift,Hat ein allgemeines Geschenk geschickt,Hat ein allgemeines Geschenk geschickt,Haben ein allgemeines Geschenk geschickt,Haben ein allgemeines Geschenk geschickt,Timeline
fr_FR,Sent a gift,A envoyé un cadeau,A envoyé un cadeau,Ont envoyé un cadeau,Ont envoyé un cadeau,Timeline
it_IT,Sent a gift,Ha inviato un regalo,Ha inviato un regalo,Hanno inviato un regalo,Hanno inviato un regalo,Timeline
de_DE,Sent a gift,Hat ein Geschenk geschickt,Hat ein Geschenk geschickt,Haben ein Geschenk geschickt,Haben ein Geschenk geschickt,Timeline
fr_FR,Received your letter,A reçu ta lettre,A reçu ta lettre,Ont reçu ta lettre,Ont reçu ta lettre,Timeline
it_IT,Received your letter,Ha ricevuto la tua lettera,Ha ricevuto la tua lettera,Hanno ricevuto la tua lettera,Hanno ricevuto la tua lettera,Timeline
de_DE,Received your letter,Habe deinen Brief erhalten,Habe deinen Brief erhalten,Haben deinen Brief erhalten,Haben deinen Brief erhalten,Timeline
fr_FR,Wrote you a letter,T'a écrit une lettre,T'a écrit une lettre,T'ont écrit une lettre,T'ont écrit une lettre,Timeline
it_IT,Wrote you a letter,Ti ha scritto una lettera,Ti ha scritto una lettera,Ti hanno scritto una lettera,Ti hanno scritto una lettera,Timeline
de_DE,Wrote you a letter,Hat dir einen Brief geschrieben,Hat dir einen Brief geschrieben,Haben dir einen Brief geschrieben,Haben dir einen Brief geschrieben,Timeline
